,ACTIVITY_DATE,DAY_OF_WEEK,ACTIVITY_HOUR,ACTIVITY_NO,CUSTOMER_NUMBER,ACTIVITY_NAME
9732392,2019-01-26,Sat,17,1,630178,LOGOUT
2448884,2019-01-26,Sat,23,2,630178,LOGIN
6087110,2019-01-26,Sat,23,1,630178,QUERY_ACCOUNT_INFORMATION
9732396,2019-01-26,Sat,23,1,630178,LOGOUT
9,2019-01-30,Wed,18,11,630178,MB_INTEREST_RATE_VIEW
2448879,2019-01-30,Wed,18,2,630178,LOGIN
6087101,2019-01-30,Wed,18,5,630178,QUERY_ACCOUNT_INFORMATION
8653229,2019-01-30,Wed,18,3,630178,TRANSACTION_OVERVIEW_QUERY
9732400,2019-01-30,Wed,18,1,630178,LOGOUT
8,2019-01-30,Wed,20,2,630178,MB_INTEREST_RATE_VIEW
2448882,2019-01-30,Wed,20,2,630178,LOGIN
9732395,2019-01-30,Wed,20,1,630178,LOGOUT
12,2019-02-02,Sat,18,4,630178,MB_INTEREST_RATE_VIEW
2448891,2019-02-02,Sat,18,4,630178,LOGIN
6087112,2019-02-02,Sat,18,8,630178,QUERY_ACCOUNT_INFORMATION
8653235,2019-02-02,Sat,18,8,630178,TRANSACTION_OVERVIEW_QUERY
9732405,2019-02-02,Sat,18,2,630178,LOGOUT
11,2019-02-03,Sun,21,20,630178,MB_INTEREST_RATE_VIEW
2448892,2019-02-03,Sun,21,4,630178,LOGIN
6087113,2019-02-03,Sun,21,14,630178,QUERY_ACCOUNT_INFORMATION
8653239,2019-02-03,Sun,21,8,630178,TRANSACTION_OVERVIEW_QUERY
9732406,2019-02-03,Sun,22,2,630178,LOGOUT
2448895,2019-02-09,Sat,20,4,630178,LOGIN
6087116,2019-02-09,Sat,20,4,630178,QUERY_ACCOUNT_INFORMATION
8653238,2019-02-09,Sat,20,4,630178,TRANSACTION_OVERVIEW_QUERY
9732404,2019-02-09,Sat,21,2,630178,LOGOUT
10,2019-02-13,Wed,8,34,630178,MB_INTEREST_RATE_VIEW
2448894,2019-02-13,Wed,8,4,630178,LOGIN
6087111,2019-02-13,Wed,8,6,630178,QUERY_ACCOUNT_INFORMATION
8653236,2019-02-13,Wed,8,2,630178,TRANSACTION_OVERVIEW_QUERY
9732408,2019-02-13,Wed,8,2,630178,LOGOUT
2448893,2019-02-20,Wed,21,4,630178,LOGIN
6087114,2019-02-20,Wed,21,4,630178,QUERY_ACCOUNT_INFORMATION
8653237,2019-02-20,Wed,21,2,630178,TRANSACTION_OVERVIEW_QUERY
9732409,2019-02-20,Wed,22,2,630178,LOGOUT
13,2019-02-26,Tue,16,16,630178,MB_INTEREST_RATE_VIEW
2448890,2019-02-26,Tue,16,6,630178,LOGIN
6087115,2019-02-26,Tue,16,2,630178,QUERY_ACCOUNT_INFORMATION
9732407,2019-02-26,Tue,16,2,630178,LOGOUT
2448903,2019-03-01,Fri,22,2,630178,LOGIN
6087120,2019-03-01,Fri,22,1,630178,QUERY_ACCOUNT_INFORMATION
9732413,2019-03-01,Fri,22,1,630178,LOGOUT
2448898,2019-03-02,Sat,12,2,630178,LOGIN
6087121,2019-03-02,Sat,12,1,630178,QUERY_ACCOUNT_INFORMATION
9732410,2019-03-02,Sat,12,1,630178,LOGOUT
14,2019-03-06,Wed,16,20,630178,MB_INTEREST_RATE_VIEW
2448900,2019-03-06,Wed,16,2,630178,LOGIN
9732412,2019-03-06,Wed,16,1,630178,LOGOUT
2448899,2019-03-09,Sat,21,2,630178,LOGIN
6087119,2019-03-09,Sat,21,2,630178,QUERY_ACCOUNT_INFORMATION
8653242,2019-03-09,Sat,21,1,630178,TRANSACTION_OVERVIEW_QUERY
9732416,2019-03-09,Sat,21,1,630178,LOGOUT
17,2019-03-15,Fri,15,3,630178,MB_INTEREST_RATE_VIEW
2448897,2019-03-15,Fri,15,2,630178,LOGIN
6087118,2019-03-15,Fri,15,2,630178,QUERY_ACCOUNT_INFORMATION
8653241,2019-03-15,Fri,15,1,630178,TRANSACTION_OVERVIEW_QUERY
9732414,2019-03-15,Fri,15,1,630178,LOGOUT
15,2019-03-16,Sat,11,6,630178,MB_INTEREST_RATE_VIEW
2448902,2019-03-16,Sat,11,2,630178,LOGIN
9732417,2019-03-16,Sat,11,1,630178,LOGOUT
16,2019-03-29,Fri,7,12,630178,MB_INTEREST_RATE_VIEW
2448896,2019-03-29,Fri,7,2,630178,LOGIN
9732411,2019-03-29,Fri,8,1,630178,LOGOUT
2448901,2019-03-30,Sat,23,2,630178,LOGIN
6087117,2019-03-30,Sat,23,2,630178,QUERY_ACCOUNT_INFORMATION
8653240,2019-03-30,Sat,23,1,630178,TRANSACTION_OVERVIEW_QUERY
9732415,2019-03-30,Sat,23,1,630178,LOGOUT
2448911,2019-04-05,Fri,19,2,630178,LOGIN
6087125,2019-04-05,Fri,19,1,630178,QUERY_ACCOUNT_INFORMATION
9732425,2019-04-05,Fri,19,1,630178,LOGOUT
21,2019-04-09,Tue,22,16,630178,MB_INTEREST_RATE_VIEW
2448904,2019-04-09,Tue,22,2,630178,LOGIN
6087124,2019-04-09,Tue,22,1,630178,QUERY_ACCOUNT_INFORMATION
9732422,2019-04-09,Tue,22,1,630178,LOGOUT
20,2019-04-12,Fri,18,15,630178,MB_INTEREST_RATE_VIEW
2448910,2019-04-12,Fri,18,2,630178,LOGIN
9732420,2019-04-12,Fri,18,1,630178,LOGOUT
22,2019-04-12,Fri,20,11,630178,MB_INTEREST_RATE_VIEW
2448908,2019-04-12,Fri,20,2,630178,LOGIN
9732418,2019-04-12,Fri,20,1,630178,LOGOUT
19,2019-04-15,Mon,15,12,630178,MB_INTEREST_RATE_VIEW
2448909,2019-04-15,Mon,15,2,630178,LOGIN
9732419,2019-04-15,Mon,15,1,630178,LOGOUT
2448905,2019-04-22,Mon,8,2,630178,LOGIN
6087123,2019-04-22,Mon,8,1,630178,QUERY_ACCOUNT_INFORMATION
9732423,2019-04-22,Mon,8,1,630178,LOGOUT
2448907,2019-04-27,Sat,16,2,630178,LOGIN
6087122,2019-04-27,Sat,16,2,630178,QUERY_ACCOUNT_INFORMATION
8653243,2019-04-27,Sat,16,1,630178,TRANSACTION_OVERVIEW_QUERY
9732424,2019-04-27,Sat,16,1,630178,LOGOUT
18,2019-04-29,Mon,16,9,630178,MB_INTEREST_RATE_VIEW
2448906,2019-04-29,Mon,16,2,630178,LOGIN
9732421,2019-04-29,Mon,16,1,630178,LOGOUT
28,2019-05-07,Tue,8,5,630178,MB_INTEREST_RATE_VIEW
2448915,2019-05-07,Tue,8,2,630178,LOGIN
6087130,2019-05-07,Tue,8,2,630178,QUERY_ACCOUNT_INFORMATION
8653246,2019-05-07,Tue,8,5,630178,TRANSACTION_OVERVIEW_QUERY
9732431,2019-05-07,Tue,8,1,630178,LOGOUT
23,2019-05-08,Wed,13,7,630178,MB_INTEREST_RATE_VIEW
2448918,2019-05-08,Wed,13,4,630178,LOGIN
6087126,2019-05-08,Wed,13,5,630178,QUERY_ACCOUNT_INFORMATION
8653247,2019-05-08,Wed,13,3,630178,TRANSACTION_OVERVIEW_QUERY
9732433,2019-05-08,Wed,13,1,630178,LOGOUT
30,2019-05-08,Wed,14,1,630178,MB_INTEREST_RATE_VIEW
6087134,2019-05-08,Wed,14,2,630178,QUERY_ACCOUNT_INFORMATION
8653244,2019-05-08,Wed,14,2,630178,TRANSACTION_OVERVIEW_QUERY
9732428,2019-05-08,Wed,14,1,630178,LOGOUT
13472271,2019-05-08,Wed,14,1,630178,TRANSFER_VIA_SML
25,2019-05-09,Thu,8,3,630178,MB_INTEREST_RATE_VIEW
2448914,2019-05-09,Thu,8,2,630178,LOGIN
6087133,2019-05-09,Thu,8,1,630178,QUERY_ACCOUNT_INFORMATION
9732427,2019-05-09,Thu,8,1,630178,LOGOUT
14151490,2019-05-09,Thu,8,1,630178,MB_LOCATION_BRANCH_VIEW
14179729,2019-05-09,Thu,8,1,630178,TRANSFER_VIA_PAYMENT_CENTER
26,2019-05-11,Sat,22,2,630178,MB_INTEREST_RATE_VIEW
2448919,2019-05-11,Sat,22,2,630178,LOGIN
6087129,2019-05-11,Sat,22,1,630178,QUERY_ACCOUNT_INFORMATION
9732432,2019-05-11,Sat,22,1,630178,LOGOUT
2448916,2019-05-16,Thu,21,2,630178,LOGIN
6087132,2019-05-16,Thu,21,1,630178,QUERY_ACCOUNT_INFORMATION
29,2019-05-18,Sat,23,4,630178,MB_INTEREST_RATE_VIEW
2448912,2019-05-18,Sat,23,3,630178,LOGIN
6087127,2019-05-18,Sat,23,3,630178,QUERY_ACCOUNT_INFORMATION
9732429,2019-05-18,Sat,23,1,630178,LOGOUT
24,2019-05-26,Sun,19,4,630178,MB_INTEREST_RATE_VIEW
2448913,2019-05-26,Sun,19,2,630178,LOGIN
6087131,2019-05-26,Sun,19,4,630178,QUERY_ACCOUNT_INFORMATION
8653245,2019-05-26,Sun,19,3,630178,TRANSACTION_OVERVIEW_QUERY
9732430,2019-05-26,Sun,19,1,630178,LOGOUT
27,2019-05-28,Tue,8,2,630178,MB_INTEREST_RATE_VIEW
2448917,2019-05-28,Tue,8,2,630178,LOGIN
6087128,2019-05-28,Tue,8,1,630178,QUERY_ACCOUNT_INFORMATION
9732426,2019-05-28,Tue,8,1,630178,LOGOUT
2448920,2019-06-04,Tue,23,2,630178,LOGIN
6087135,2019-06-04,Tue,23,2,630178,QUERY_ACCOUNT_INFORMATION
8653248,2019-06-04,Tue,23,2,630178,TRANSACTION_OVERVIEW_QUERY
9732434,2019-06-04,Tue,23,1,630178,LOGOUT
36,2019-07-20,Sat,16,2,630178,MB_INTEREST_RATE_VIEW
2448923,2019-07-20,Sat,16,4,630178,LOGIN
6087143,2019-07-20,Sat,16,2,630178,QUERY_ACCOUNT_INFORMATION
9732436,2019-07-20,Sat,16,1,630178,LOGOUT
9732441,2019-07-20,Sat,17,1,630178,LOGOUT
33,2019-07-21,Sun,23,12,630178,MB_INTEREST_RATE_VIEW
2448926,2019-07-21,Sun,23,2,630178,LOGIN
6087139,2019-07-21,Sun,23,2,630178,QUERY_ACCOUNT_INFORMATION
8653249,2019-07-21,Sun,23,1,630178,TRANSACTION_OVERVIEW_QUERY
9732437,2019-07-21,Sun,23,1,630178,LOGOUT
2448927,2019-07-23,Tue,18,2,630178,LOGIN
6087136,2019-07-23,Tue,18,2,630178,QUERY_ACCOUNT_INFORMATION
8653250,2019-07-23,Tue,18,1,630178,TRANSACTION_OVERVIEW_QUERY
9732440,2019-07-23,Tue,18,1,630178,LOGOUT
31,2019-07-23,Tue,22,10,630178,MB_INTEREST_RATE_VIEW
2448922,2019-07-23,Tue,22,2,630178,LOGIN
6087140,2019-07-23,Tue,22,5,630178,QUERY_ACCOUNT_INFORMATION
8653251,2019-07-23,Tue,22,2,630178,TRANSACTION_OVERVIEW_QUERY
34,2019-07-23,Tue,23,6,630178,MB_INTEREST_RATE_VIEW
2448928,2019-07-23,Tue,23,2,630178,LOGIN
6087138,2019-07-23,Tue,23,13,630178,QUERY_ACCOUNT_INFORMATION
8653252,2019-07-23,Tue,23,7,630178,TRANSACTION_OVERVIEW_QUERY
9732442,2019-07-23,Tue,23,1,630178,LOGOUT
14179730,2019-07-23,Tue,23,2,630178,TRANSFER_VIA_PAYMENT_CENTER
32,2019-07-24,Wed,14,3,630178,MB_INTEREST_RATE_VIEW
2448925,2019-07-24,Wed,14,2,630178,LOGIN
6087141,2019-07-24,Wed,14,1,630178,QUERY_ACCOUNT_INFORMATION
9732438,2019-07-24,Wed,14,1,630178,LOGOUT
2448924,2019-07-27,Sat,12,2,630178,LOGIN
6087137,2019-07-27,Sat,12,1,630178,QUERY_ACCOUNT_INFORMATION
9732435,2019-07-27,Sat,12,1,630178,LOGOUT
35,2019-07-28,Sun,13,2,630178,MB_INTEREST_RATE_VIEW
2448921,2019-07-28,Sun,13,2,630178,LOGIN
6087142,2019-07-28,Sun,13,1,630178,QUERY_ACCOUNT_INFORMATION
9732439,2019-07-28,Sun,13,1,630178,LOGOUT
37,2019-08-02,Fri,22,3,630178,MB_INTEREST_RATE_VIEW
2448929,2019-08-02,Fri,22,2,630178,LOGIN
6087145,2019-08-02,Fri,22,2,630178,QUERY_ACCOUNT_INFORMATION
9732443,2019-08-02,Fri,22,1,630178,LOGOUT
2448930,2019-08-11,Sun,22,2,630178,LOGIN
6087144,2019-08-11,Sun,22,1,630178,QUERY_ACCOUNT_INFORMATION
9732444,2019-08-11,Sun,22,1,630178,LOGOUT
38,2019-09-07,Sat,14,13,630178,MB_INTEREST_RATE_VIEW
2448931,2019-09-07,Sat,14,2,630178,LOGIN
9732445,2019-09-07,Sat,15,1,630178,LOGOUT
39,2019-10-22,Tue,10,13,630178,MB_INTEREST_RATE_VIEW
2448932,2019-10-22,Tue,10,2,630178,LOGIN
6087146,2019-10-22,Tue,10,1,630178,QUERY_ACCOUNT_INFORMATION
9732446,2019-10-22,Tue,10,1,630178,LOGOUT
40,2019-12-26,Thu,20,9,630178,MB_INTEREST_RATE_VIEW
2448933,2019-12-26,Thu,20,4,630178,LOGIN
6087147,2019-12-26,Thu,20,7,630178,QUERY_ACCOUNT_INFORMATION
8653253,2019-12-26,Thu,20,4,630178,TRANSACTION_OVERVIEW_QUERY
9732447,2019-12-26,Thu,20,2,630178,LOGOUT
